key,bookKey,date,chapter,chapterIndex,text,cfi,range,notes,percentage,color,tag,highlightType,bookName,bookAuthor
1758361800980,1738143464138,2025-09-20,,7,dabbled,"{""text"":""Errol earned a degree in engineering and worked on building hotels, shopping centers, and factories. On the side, he liked restoring old cars and planes. He also dabbled in politics, defeating an Afrikaner member of the pro-apartheid National Party to become one of the few English-speaking members of the Pretoria City Council. The Pretoria News for March 9, 1972, reported the election under the headline “Reaction against the Establishment.”"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""16"",""page"":"""",""percentage"":""0.016621807108777115""}","{""characterRange"":{""start"":6312,""end"":6319},""backward"":false}","He also dabbled in politics, defeating an Afrikaner member of the pro-apartheid National Party to become one of the few English-speaking members of the Pretoria City Council.",0.016621807108777115,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361815545,1738143464138,2025-09-20,,7,Afrikaner,"{""text"":""Errol earned a degree in engineering and worked on building hotels, shopping centers, and factories. On the side, he liked restoring old cars and planes. He also dabbled in politics, defeating an Afrikaner member of the pro-apartheid National Party to become one of the few English-speaking members of the Pretoria City Council. The Pretoria News for March 9, 1972, reported the election under the headline “Reaction against the Establishment.”"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""16"",""page"":"""",""percentage"":""0.016621807108777115""}","{""characterRange"":{""start"":6346,""end"":6355},""backward"":false}","He also dabbled in politics, defeating an Afrikaner member of the pro-apartheid National Party to become one of the few English-speaking members of the Pretoria City Council.",0.016621807108777115,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361930943,1738143464138,2025-09-20,,7,"Establishment","{""text"":""Like the Haldemans, he loved flying. He bought a twin-engine Cessna Golden Eagle, which he used to ferry television crews to a lodge he had built in the bush. On one trip in 1986, when he was looking to sell the plane, he landed at an airstrip in Zambia where a Panamanian-Italian entrepreneur offered to buy it. They agreed on a price, and instead of taking a payment in cash, Errol was given a portion of the emeralds produced at three small mines that the entrepreneur owned in Zambia."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""17"",""page"":"""",""percentage"":""0.016897227118577954""}","{""characterRange"":{""start"":6579,""end"":6592},""backward"":false}","The Pretoria News for March 9, 1972, reported the election under the headline “Reaction against the Establishment.”",0.016897227118577954,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758362063336,1738143464138,2025-09-20,,7,ferry,"{""text"":""Like the Haldemans, he loved flying. He bought a twin-engine Cessna Golden Eagle, which he used to ferry television crews to a lodge he had built in the bush. On one trip in 1986, when he was looking to sell the plane, he landed at an airstrip in Zambia where a Panamanian-Italian entrepreneur offered to buy it. They agreed on a price, and instead of taking a payment in cash, Errol was given a portion of the emeralds produced at three small mines that the entrepreneur owned in Zambia."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""17"",""page"":"""",""percentage"":""0.016897227118577954""}","{""characterRange"":{""start"":6694,""end"":6699},""backward"":false}","He bought a twin-engine Cessna Golden Eagle, which he used to ferry television crews to a lodge he had built in the bush",0.016897227118577954,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758362099460,1738143464138,2025-09-20,,7,"airstrip","{""text"":""Like the Haldemans, he loved flying. He bought a twin-engine Cessna Golden Eagle, which he used to ferry television crews to a lodge he had built in the bush. On one trip in 1986, when he was looking to sell the plane, he landed at an airstrip in Zambia where a Panamanian-Italian entrepreneur offered to buy it. They agreed on a price, and instead of taking a payment in cash, Errol was given a portion of the emeralds produced at three small mines that the entrepreneur owned in Zambia."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""17"",""page"":"""",""percentage"":""0.016897227118577954""}","{""characterRange"":{""start"":6830,""end"":6838},""backward"":false}","On one trip in 1986, when he was looking to sell the plane, he landed at an airstrip in Zambia where a Panamanian-Italian entrepreneur offered to buy it.",0.016897227118577954,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758362148764,1738143464138,2025-09-20,,7,Panamanian,"{""text"":""Like the Haldemans, he loved flying. He bought a twin-engine Cessna Golden Eagle, which he used to ferry television crews to a lodge he had built in the bush. On one trip in 1986, when he was looking to sell the plane, he landed at an airstrip in Zambia where a Panamanian-Italian entrepreneur offered to buy it. They agreed on a price, and instead of taking a payment in cash, Errol was given a portion of the emeralds produced at three small mines that the entrepreneur owned in Zambia."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""17"",""page"":"""",""percentage"":""0.016897227118577954""}","{""characterRange"":{""start"":6857,""end"":6867},""backward"":false}","On one trip in 1986, when he was looking to sell the plane, he landed at an airstrip in Zambia where a Panamanian-Italian entrepreneur offered to buy it.",0.016897227118577954,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758362180495,1738143464138,2025-09-20,,7,"postcolonial","{""text"":""Zambia then had a postcolonial Black government, but there was no functioning bureaucracy, so the mine was not registered. “If you registered it, you would wind up with nothing, because the Blacks would take everything from you,” Errol says. He criticizes Maye’s family for being racist, which he insists he is not. “I don’t have anything against the Blacks, but they are just different from what I am,” he says in a rambling phone discourse."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""18"",""page"":"""",""percentage"":""0.01717264712837879""}","{""characterRange"":{""start"":7102,""end"":7114},""backward"":false}","Zambia then had a postcolonial Black government, but there was no functioning bureaucracy, so the mine was not registered.",0.01717264712837879,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758362204315,1738143464138,2025-09-20,,7,bureaucracy,"{""text"":""Zambia then had a postcolonial Black government, but there was no functioning bureaucracy, so the mine was not registered. “If you registered it, you would wind up with nothing, because the Blacks would take everything from you,” Errol says. He criticizes Maye’s family for being racist, which he insists he is not. “I don’t have anything against the Blacks, but they are just different from what I am,” he says in a rambling phone discourse."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""18"",""page"":"""",""percentage"":""0.01717264712837879""}","{""characterRange"":{""start"":7162,""end"":7173},""backward"":false}","Zambia then had a postcolonial Black government, but there was no functioning bureaucracy, so the mine was not registered.",0.01717264712837879,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758362240655,1738143464138,2025-09-20,,7,wind up with,"{""text"":""Zambia then had a postcolonial Black government, but there was no functioning bureaucracy, so the mine was not registered. “If you registered it, you would wind up with nothing, because the Blacks would take everything from you,” Errol says. He criticizes Maye’s family for being racist, which he insists he is not. “I don’t have anything against the Blacks, but they are just different from what I am,” he says in a rambling phone discourse."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""18"",""page"":"""",""percentage"":""0.01717264712837879""}","{""characterRange"":{""start"":7240,""end"":7252},""backward"":false}","If you registered it, you would wind up with nothing, because the Blacks would take everything from you,” Errol says.",0.01717264712837879,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758362301132,1738143464138,2025-09-20,,7,rambling,"{""text"":""Errol, who never had an ownership stake in the mine, expanded his trade by importing raw emeralds and having them cut in Johannesburg. “Many people came to me with stolen parcels,” he says. “On trips overseas I would sell emeralds to jewelers. It was a cloak-and-dagger thing, because none of it was legal.” After producing profits of roughly $210,000, his emerald business collapsed in the 1980s when the Russians created an artificial emerald in the lab. He lost all of his emerald earnings."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""19"",""page"":"""",""percentage"":""0.01744806713817963""}","{""characterRange"":{""start"":7501,""end"":7509},""backward"":false}","I don’t have anything against the Blacks, but they are just different from what I am,” he says in a rambling phone discourse.",0.01744806713817963,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
